id,date_listed,locality,region,tier,lat,lon,property_type,bedrooms,carpet_area_sqft,built_up_area_sqft,carpet_area_m2,floor,total_floors,year_built,facing,furnishing,parking,balconies,is_sra_redevelopment,builder,builder_tier,metro_station,metro_line,metro_distance_min,metro_distance_type,to_bkc_km,to_nariman_point_km,price_inr,price_per_sqft_carpet_inr,price_usd,home_loan_rate_at_listing,listing_year,listing_month,property_age,calculated_price_per_sqft,luxury_score,connectivity_score,investment_score,investment_category,appreciation_score,affordability_score,demand_score,rental_yield_score
S000001,2024-11-23,Breach Candy,South Mumbai,luxury,18.96953,72.81853,3BHK,3,1048,1330,97.3,4,7,2013,north-west,unfurnished,1_covered,3,False,Local Builder,local,Grant Road Metro,Line 3,19,walk,12.41,4.82,61694000,58893,740322,9.2,2024,11,13,58868.32061068702,5,81,62.86404263968755,Medium Potential,52.40336702733486,81.6945330465099,90.06116207951071,52.40336702733486
S000002,2023-07-05,Breach Candy,South Mumbai,luxury,18.9723,72.81017,2BHK,2,729,921,67.7,22,30,1991,north-west,semi_furnished,1_covered,0,False,Local Builder,local,BKC Metro,Line 3,56,auto/bus,12.55,5.29,40127000,55039,481523,9.2,2023,7,35,55043.895747599454,3,44,61.10344584715037,Medium Potential,48.97405324601367,88.09376159038646,90.06116207951071,48.97405324601367
S000003,2022-01-22,Malad East,Western,mid,19.18986,72.8594,2BHK,2,705,860,65.5,5,7,2016,south-east,fully_furnished,1_covered,2,False,Local Builder,local,Dahanukarwadi,Line 2A,19,walk,13.37,29.52,10450000,14813,125398,7.1,2022,1,10,14822.695035460993,2,81,36.898076672795206,Low Potential,13.18070187927107,96.89933981158669,89.90825688073394,13.18070187927107
S000004,2020-11-18,Mulund West,Central,mid,19.15854,72.93798,1BHK,1,424,542,39.4,10,20,2014,south,unfurnished,2_covered,1,False,Ekta World,tier2,Siddhivinayak,Line 3,90,auto/bus,12.16,28.46,5420000,12781,65036,6.7,2020,11,12,12783.018867924528,0,10,35.56759589074754,Low Potential,11.372615318906606,98.39181069653587,88.83792048929664,11.372615318906606
S000005,2025-01-11,Matunga,Central,premium,19.02358,72.8569,1BHK,1,392,479,36.4,4,12,2024,north,unfurnished,1_covered,2,False,Local Builder,local,Bandra WR,Western Rail,18,auto/bus,5.34,11.35,11713000,29860,140553,8.95,2025,1,2,29880.102040816328,0,82,46.01877602997031,Medium Potential,26.569618451025057,96.52459016393442,88.83792048929664,26.569618451025057
S000006,2022-01-12,Malad East,Western,mid,19.18736,72.83775,1BHK,1,397,505,36.9,4,20,2022,south-east,unfurnished,1_covered,1,False,Local Builder,local,Eksar,Line 2A,19,auto/bus,13.48,29.04,4229000,10651,50752,7.1,2022,1,4,10652.392947103275,0,81,34.49030048397111,Low Potential,9.477327733485193,98.74519694384689,89.90825688073394,9.477327733485193
S000007,2022-04-26,Worli,South Mumbai,luxury,18.99578,72.82271,4BHK,4,1374,1782,127.7,28,30,2018,east,unfurnished,open,1,False,Local Builder,local,Worli Metro,Line 3,3,walk,9.63,7.7,71463000,51997,857550,7.1,2022,4,8,52010.91703056769,5,97,58.645881965547126,Medium Potential,46.267262243735765,78.79593501965729,91.89602446483181,46.267262243735765
S000008,2020-02-15,Mazgaon,South Mumbai,premium,18.98171,72.82773,3BHK,3,980,1238,91.1,16,20,2014,south,unfurnished,1_covered,1,False,Ajmera,tier2,CSMT Metro,Line 3,19,auto/bus,10.78,6.15,19075000,19459,228900,7.85,2020,2,12,19464.285714285717,2,81,40.36167731589677,Low Potential,17.31474231207289,94.34018247904457,94.03669724770643,17.31474231207289
S000009,2023-09-04,Naigaon,Far Western,affordable,19.34814,72.83324,2BHK,2,707,850,65.7,19,45,2018,west,fully_furnished,1_covered,1,False,Oberoi Realty,tier1,Dindoshi,Line 7,86,auto/bus,31.17,46.9,3243000,4586,38920,9.2,2023,9,8,4586.987270155587,2,14,32.393259642311925,Low Potential,4.080652050113896,99.03775684296417,98.1651376146789,4.080652050113896
S000010,2022-04-20,Kandivali East,Western,mid,19.19928,72.8493,4BHK,4,1418,1781,131.8,6,7,2010,east,semi_furnished,open,1,False,Piramal Realty,tier2,Dahanukarwadi,Line 2A,12,auto/bus,14.54,30.45,17978000,12676,215733,7.1,2022,4,16,12678.420310296193,2,88,35.22132493360275,Low Potential,11.279185649202732,94.66567762035457,89.29663608562691,11.279185649202732
S000011,2025-02-10,Borivali East,Western,mid,19.23228,72.85758,2BHK,2,734,902,68.2,19,20,2021,west,fully_furnished,open,2,False,Sunteck,tier2,Eksar,Line 2A,18,walk,18.09,34.19,11282000,15374,135389,8.95,2025,2,5,15370.57220708447,2,82,37.161654962027136,Low Potential,13.679883257403189,96.65247385208812,89.60244648318043,13.679883257403189
S000012,2022-02-14,Andheri East,Western,mid,19.13024,72.83626,2BHK,2,689,878,64.0,8,12,2005,south-east,unfurnished,1_covered,2,False,Runwal,tier2,Andheri WR,Western Rail,2,walk,7.58,22.69,14103000,20481,169237,7.1,2022,2,21,20468.79535558781,0,98,39.922529356510296,Low Potential,18.22412443052392,95.81544395816334,87.92048929663608,18.22412443052392
S000013,2023-03-03,Bhayandar,Western,affordable,19.28539,72.85237,1BHK,1,440,538,40.9,1,7,2010,west,semi_furnished,open,2,False,Local Builder,local,Dahisar East,Line 2A,24,auto/bus,24.02,40.02,2761000,6272,33135,9.2,2023,3,16,6275.0,0,76,32.387374348019016,Low Potential,5.5808656036446465,99.1807729396929,92.81345565749236,5.5808656036446465
S000014,2022-07-07,Tardeo,South Mumbai,luxury,18.97083,72.83921,2BHK,2,740,937,68.8,24,45,2021,south,semi_furnished,1_covered,1,False,Local Builder,local,Mumbai Central Metro,Line 3,17,walk,11.49,5.19,30319000,40958,363828,8.6,2022,7,5,40971.62162162162,3,83,52.77681350546268,Medium Potential,36.44468963553531,91.00393145909057,90.82568807339449,36.44468963553531
S000015,2025-02-01,Panvel,Navi Mumbai,affordable,18.98199,73.10887,2BHK,2,597,717,55.4,3,7,2018,north-east,fully_furnished,2_covered,1,False,JP Infra,tier2,Panvel Harbour,Harbour,2,walk,26.95,30.62,5766000,9662,69197,8.95,2025,2,8,9658.291457286432,2,98,32.94183245003441,Low Potential,8.597309225512529,98.28914768934055,85.47400611620795,8.597309225512529
S000016,2021-09-12,Borivali East,Western,mid,19.22993,72.8425,3BHK,3,1189,1439,110.4,2,7,2018,south-west,unfurnished,1_covered,1,False,Piramal Realty,tier2,Anand Nagar,Line 2A,16,walk,18.02,33.8,12296000,10343,147553,6.7,2021,9,8,10341.463414634149,2,84,33.99793705134536,Low Potential,9.203267369020502,96.35160596394925,89.60244648318043,9.203267369020502
S000017,2021-02-07,Sewri,South Mumbai,premium,19.01175,72.87288,1BHK,1,448,568,41.6,10,12,2000,north-west,unfurnished,1_covered,1,False,Sunteck,tier2,Siddhivinayak,Line 3,17,auto/bus,6.48,10.8,8440000,18826,101275,6.7,2021,2,26,18839.285714285717,0,83,38.69274526834159,Low Potential,16.751494874715263,97.49573473777909,86.08562691131499,16.751494874715263
S000018,2020-08-03,Nariman Point,South Mumbai,luxury,18.92567,72.82068,1BHK,1,449,543,41.7,26,30,1991,north-west,semi_furnished,2_covered,2,False,Local Builder,local,Churchgate,Line 3,12,walk,16.87,0.33,13796000,30740,165554,6.7,2020,8,35,30726.0579064588,3,88,46.688577493389076,Medium Potential,27.35264806378132,95.90653512350715,89.75535168195718,27.35264806378132
S000019,2024-12-17,Ghodbunder Road,Thane,mid,19.2584,72.96799,3BHK,3,988,1200,91.8,8,20,2016,west,unfurnished,2_covered,1,False,Kanakia,tier2,Dindoshi,Line 7,58,auto/bus,23.34,39.9,9346000,9455,112151,9.2,2024,12,10,9459.514170040486,2,42,33.287715687275906,Low Potential,8.413119305239182,97.22691195015206,88.37920489296636,8.413119305239182
S000020,2023-05-22,Borivali East,Western,mid,19.23701,72.88085,3BHK,3,1007,1289,93.6,16,20,2023,north-east,semi_furnished,1_covered,2,False,Local Builder,local,Borivali East,Line 2A,4,walk,18.61,35.05,11897000,11813,142762,9.2,2023,5,3,11814.299900695134,2,96,34.92538669879907,Low Potential,10.511282744874716,96.46999480750686,89.60244648318043,10.511282744874716
S000021,2020-11-13,Belapur,Navi Mumbai,mid,19.01987,73.0095,5BHK_penthouse,5,2241,2822,208.2,30,30,2014,north,semi_furnished,1_covered,1,False,JP Infra,tier2,Belapur TH,Trans-Harbour,4,walk,15.69,22.13,24362000,10872,292349,6.7,2020,11,12,10871.039714413208,2,96,33.90825528960536,Low Potential,9.673974943052393,92.77145612343298,89.29663608562691,9.673974943052393
S000022,2023-04-11,Airoli,Navi Mumbai,mid,19.16388,73.00224,2BHK,2,597,723,55.4,4,7,2019,north-west,semi_furnished,1_covered,2,True,Local Builder,local,Akurli,Line 7,69,auto/bus,17.38,32.39,3237000,5424,38841,9.2,2023,4,7,5422.110552763819,0,31,32.30377729695337,Low Potential,4.82630979498861,99.03953712632594,95.10703363914374,4.82630979498861
S000023,2026-01-30,Andheri East,Western,mid,19.12573,72.85365,4BHK,4,1238,1533,115.0,3,20,2010,west,unfurnished,open,2,False,Local Builder,local,Andheri WR,Western Rail,4,walk,6.43,22.38,22661000,18300,271931,8.7,2026,1,16,18304.52342487884,2,96,38.310134208849085,Low Potential,16.283456719817767,93.27616645649432,87.92048929663608,16.283456719817767
S000024,2023-01-10,Mulund West,Central,mid,19.17243,72.93634,3BHK,3,964,1201,89.6,18,30,2016,south-east,fully_furnished,1_covered,3,False,Sunteck,tier2,Borivali WR,Western Rail,51,auto/bus,13.35,29.8,17389000,18038,208674,9.2,2023,1,10,18038.381742738587,4,49,38.48685752235249,Low Potential,16.050327448747154,94.8404421037015,88.83792048929664,16.050327448747154
S000025,2026-04-27,Chembur,Central,mid,19.05006,72.90995,3BHK,3,968,1170,89.9,26,30,2012,south,fully_furnished,2_covered,0,False,Runwal,tier2,Domestic Airport,Line 3,30,auto/bus,4.75,16.46,19098000,19730,229174,8.7,2026,4,14,19729.338842975205,4,70,40.28514282583028,Low Potential,17.555879840546698,94.33335805949113,92.81345565749236,17.555879840546698
S000026,2021-10-27,Sanpada,Navi Mumbai,mid,19.07074,72.99895,1BHK,1,465,601,43.2,26,30,2022,south,unfurnished,1_covered,2,False,Local Builder,local,Poisar,Line 7,93,auto/bus,13.55,24.43,3994000,8590,47927,6.7,2021,10,4,8589.247311827958,0,7,34.13098079140072,Low Potential,7.643436788154897,98.81492470884949,94.4954128440367,7.643436788154897
S000027,2020-02-06,Kharghar,Navi Mumbai,affordable,19.04177,73.07513,3BHK,3,1174,1480,109.0,2,7,2012,east,unfurnished,1_covered,3,False,Godrej Properties,tier1,Kharghar TH,Trans-Harbour,2,walk,21.79,29.38,10431000,8887,125172,7.85,2020,2,14,8885.008517887563,2,98,32.16779025974349,Low Potential,7.907709282460136,96.90497737556562,84.70948012232415,7.907709282460136
S000028,2020-12-01,Borivali West,Western,mid,19.23128,72.85191,4BHK,4,1381,1738,128.3,6,20,2018,west,unfurnished,1_covered,1,False,Ajmera,tier2,Magathane,Line 2A,17,auto/bus,18.03,34.02,16266000,11775,195196,6.7,2020,12,8,11778.421433743664,2,83,34.6191783502379,Low Potential,10.477470102505695,95.17365180624583,88.83792048929664,10.477470102505695
S000029,2026-02-23,Kanjurmarg,Central,mid,19.13148,72.93943,2BHK,2,507,638,47.1,5,12,2022,east,semi_furnished,2_covered,2,True,Marathon,tier2,MIDC Andheri,Line 3,29,auto/bus,10.0,25.84,6950000,13710,83401,8.7,2026,2,4,13708.086785009862,0,71,36.131420792477115,Low Potential,12.199245444191344,97.93783843928492,88.9908256880734,12.199245444191344
S000030,2022-09-24,Sewri,South Mumbai,premium,19.00032,72.86702,3BHK,3,1288,1611,119.6,12,20,2019,east,semi_furnished,1_covered,2,False,Local Builder,local,Ghatkopar,Line 1,54,auto/bus,7.75,9.39,28034000,21770,336403,8.6,2022,9,7,21765.52795031056,2,46,39.945077049221425,Low Potential,19.371084851936217,91.6819227060307,86.08562691131499,19.371084851936217
S000031,2022-02-11,Dadar West,Central,premium,19.01365,72.87104,1BHK,1,476,607,44.2,4,7,2018,south,unfurnished,1_covered,1,False,Local Builder,local,Dadar CR,Central Rail,3,walk,6.27,10.89,13070000,27451,156843,7.1,2022,2,8,27457.983193277312,0,97,44.96732809524642,Low Potential,24.426074886104786,96.12194941028113,91.28440366972477,24.426074886104786
S000032,2024-05-08,Airoli,Navi Mumbai,mid,19.17269,72.9967,3BHK,3,911,1152,84.7,5,7,2022,north-west,fully_furnished,1_covered,2,False,Piramal Realty,tier2,Siddhivinayak,Line 3,104,auto/bus,17.54,32.86,11690000,12827,140280,9.2,2024,5,4,12832.05268935236,4,0,36.66403067478801,Low Potential,11.413546412300683,96.53141458348787,95.10703363914374,11.413546412300683
S000033,2025-04-14,Goregaon East,Western,mid,19.15051,72.84809,2BHK,2,791,961,73.5,10,12,2021,south-west,unfurnished,1_covered,0,False,Mahindra Lifespaces,tier1,Goregaon East,Line 7,3,walk,9.24,25.04,17117000,21645,205408,8.95,2025,4,5,21639.69658659924,0,97,40.16056050905327,Low Potential,19.259859054669704,94.92114828276834,85.93272171253822,19.259859054669704
S000034,2024-03-28,Malad East,Western,mid,19.17974,72.84307,3BHK,3,976,1208,90.7,18,20,2010,north-west,semi_furnished,open,1,False,Kanakia,tier2,Kurar,Line 7,10,walk,12.53,28.23,14068000,14408,168817,9.2,2024,3,16,14413.934426229507,2,90,36.53846547788012,Low Potential,12.820330296127564,95.82582894444033,89.90825688073394,12.820330296127564
S000035,2020-02-20,Kurla East,Central,mid,19.0638,72.89428,4BHK,4,1460,1778,135.7,5,12,2019,south,unfurnished,none,1,False,Mahindra Lifespaces,tier1,Wadala Harbour,Harbour,34,auto/bus,2.64,16.98,21531000,14745,258376,7.85,2020,2,7,14747.260273972604,2,66,37.413783376572056,Low Potential,13.120195045558086,93.61145315629405,94.34250764525994,13.120195045558086
S000036,2023-01-08,Manpada,Thane,mid,19.21822,72.97499,3BHK,3,997,1269,92.6,29,45,2012,west,semi_furnished,2_covered,3,False,JP Infra,tier2,Andheri WR,Western Rail,80,auto/bus,19.83,36.12,7669000,7690,92022,9.2,2023,1,14,7692.076228686058,2,20,31.901727389746235,Low Potential,6.842611047835991,97.72450114976634,86.69724770642202,6.842611047835991
S000037,2020-01-11,Panvel,Navi Mumbai,affordable,18.99333,73.11916,1BHK,1,395,493,36.7,6,45,2014,north-west,unfurnished,1_covered,2,False,Local Builder,local,Panvel Harbour,Harbour,2,walk,27.54,31.95,1899000,4812,22783,7.85,2020,1,12,4807.594936708861,0,98,30.035679058941845,Low Potential,4.281748291571754,99.4365403160003,85.47400611620795,4.281748291571754
S000038,2022-05-02,Goregaon West,Western,mid,19.16615,72.84056,3BHK,3,765,977,71.1,4,30,2024,south,semi_furnished,open,0,False,Local Builder,local,Azad Nagar,Line 1,24,auto/bus,11.13,26.71,11937000,15605,143238,7.1,2022,5,2,15603.921568627453,2,76,38.0812089269776,Low Potential,13.885428530751708,96.45812625176174,93.57798165137615,13.885428530751708
S000039,2023-11-12,Malad West,Western,mid,19.1922,72.83007,2BHK,2,433,534,40.2,21,30,2014,east,fully_furnished,1_covered,0,False,Local Builder,local,Kurar,Line 7,17,walk,14.22,29.55,8216000,18982,98594,9.2,2023,11,12,18974.59584295612,2,83,40.57025882186129,Low Potential,16.890304669703873,97.56219864995178,94.95412844036697,16.890304669703873
S000040,2024-11-26,Naigaon,Far Western,affordable,19.34856,72.83257,1BHK,1,457,594,42.4,9,20,2019,north,unfurnished,none,1,False,Marathon,tier2,Ovaripada,Line 7,58,auto/bus,31.22,46.94,2177000,4765,26128,9.2,2024,11,7,4763.676148796499,0,42,32.536382082552635,Low Potential,4.239927391799545,99.35405385357168,98.1651376146789,4.239927391799545
S000041,2022-08-29,Borivali West,Western,mid,19.22429,72.8232,5BHK_penthouse,5,2491,3124,231.4,5,12,1990,north-east,semi_furnished,1_covered,2,False,Dosti Realty,tier2,Eksar,Line 2A,11,auto/bus,17.85,33.11,46879000,18818,562552,8.6,2022,8,36,18819.349658771574,2,89,38.09768253250344,Low Potential,16.744376423690206,86.09034938060974,88.83792048929664,16.744376423690206
S000042,2020-05-20,Byculla,South Mumbai,premium,18.98233,72.85098,3BHK,3,928,1155,86.2,12,20,2006,north-west,fully_furnished,2_covered,1,False,Local Builder,local,Siddhivinayak,Line 3,22,auto/bus,9.95,6.84,22600000,24346,271205,6.7,2020,5,20,24353.44827586207,4,78,43.515091585632504,Low Potential,21.663226082004556,93.29426600400564,95.10703363914374,21.663226082004556
S000043,2025-11-29,Vasai,Far Western,affordable,19.41239,72.81429,1BHK,1,285,345,26.5,4,7,2016,north,unfurnished,1_covered,1,False,Kalpataru,tier1,Eksar,Line 2A,85,auto/bus,38.52,54.04,1513000,5310,18155,8.7,2025,11,10,5308.771929824561,0,15,31.916951746175684,Low Potential,4.724871867881549,99.55107187894073,93.27217125382263,4.724871867881549
S000044,2022-06-29,Bhayandar,Western,affordable,19.30502,72.82463,2BHK,2,649,786,60.3,5,30,2016,west,semi_furnished,open,1,False,Runwal,tier2,Rashtriya Udyan,Line 2A,52,auto/bus,26.56,42.09,5003000,7711,60030,7.1,2022,6,10,7708.782742681048,0,48,33.217153057760086,Low Potential,6.861296981776766,98.51554039017877,92.81345565749236,6.861296981776766
S000045,2024-09-15,Ghatkopar East,Central,mid,19.06702,72.93302,4BHK,4,1222,1523,113.5,7,20,1987,south-west,unfurnished,none,1,False,DLF,tier1,Dharavi,Line 3,39,auto/bus,6.63,19.4,16902000,13832,202826,9.2,2024,9,39,13831.423895253682,2,61,36.340255146805866,Low Potential,12.307801822323462,94.98494176989838,91.13149847094802,12.307801822323462
S000046,2025-05-17,Ghatkopar East,Central,mid,19.07763,72.93126,1BHK,1,476,600,44.2,11,12,1995,west,semi_furnished,open,1,False,JP Infra,tier2,Ghatkopar CR,Central Rail,18,walk,6.49,20.26,9528000,20023,114337,8.95,2025,5,31,20016.806722689074,0,82,40.41520587287837,Low Potential,17.816593109339408,97.17291002151175,91.13149847094802,17.816593109339408
S000047,2023-04-06,Vikhroli,Central,mid,19.1091,72.92743,2BHK,2,707,851,65.7,5,12,2011,north-west,semi_furnished,open,1,True,Ajmera,tier2,Sahar Road,Line 3,29,auto/bus,7.44,23.05,8319000,11761,99826,9.2,2023,4,15,11766.619519094767,0,71,36.25298460774461,Low Potential,10.465012813211844,97.5316371189081,95.87155963302753,10.465012813211844
