locality,lat,lon,price_inr,investment_score,luxury_score
Breach Candy,18.96953,72.81853,61694000,62.86404263968755,5
Breach Candy,18.9723,72.81017,40127000,61.10344584715037,3
Malad East,19.18986,72.8594,10450000,36.898076672795206,2
Mulund West,19.15854,72.93798,5420000,35.56759589074754,0
Matunga,19.02358,72.8569,11713000,46.01877602997031,0
Malad East,19.18736,72.83775,4229000,34.49030048397111,0
Worli,18.99578,72.82271,71463000,58.645881965547126,5
Mazgaon,18.98171,72.82773,19075000,40.36167731589677,2
Naigaon,19.34814,72.83324,3243000,32.393259642311925,2
Kandivali East,19.19928,72.8493,17978000,35.22132493360275,2
Borivali East,19.23228,72.85758,11282000,37.161654962027136,2
Andheri East,19.13024,72.83626,14103000,39.922529356510296,0
Bhayandar,19.28539,72.85237,2761000,32.387374348019016,0
Tardeo,18.97083,72.83921,30319000,52.77681350546268,3
Panvel,18.98199,73.10887,5766000,32.94183245003441,2
Borivali East,19.22993,72.8425,12296000,33.99793705134536,2
Sewri,19.01175,72.87288,8440000,38.69274526834159,0
Nariman Point,18.92567,72.82068,13796000,46.688577493389076,3
Ghodbunder Road,19.2584,72.96799,9346000,33.287715687275906,2
Borivali East,19.23701,72.88085,11897000,34.92538669879907,2
Belapur,19.01987,73.0095,24362000,33.90825528960536,2
Airoli,19.16388,73.00224,3237000,32.30377729695337,0
Andheri East,19.12573,72.85365,22661000,38.310134208849085,2
Mulund West,19.17243,72.93634,17389000,38.48685752235249,4
Chembur,19.05006,72.90995,19098000,40.28514282583028,4
Sanpada,19.07074,72.99895,3994000,34.13098079140072,0
Kharghar,19.04177,73.07513,10431000,32.16779025974349,2
Borivali West,19.23128,72.85191,16266000,34.6191783502379,2
Kanjurmarg,19.13148,72.93943,6950000,36.131420792477115,0
Sewri,19.00032,72.86702,28034000,39.945077049221425,2
Dadar West,19.01365,72.87104,13070000,44.96732809524642,0
Airoli,19.17269,72.9967,11690000,36.66403067478801,4
Goregaon East,19.15051,72.84809,17117000,40.16056050905327,0
Malad East,19.17974,72.84307,14068000,36.53846547788012,2
Kurla East,19.0638,72.89428,21531000,37.413783376572056,2
Manpada,19.21822,72.97499,7669000,31.901727389746235,2
Panvel,18.99333,73.11916,1899000,30.035679058941845,0
Goregaon West,19.16615,72.84056,11937000,38.0812089269776,2
Malad West,19.1922,72.83007,8216000,40.57025882186129,2
Naigaon,19.34856,72.83257,2177000,32.536382082552635,0
Borivali West,19.22429,72.8232,46879000,38.09768253250344,2
