locality,investment_score,price_inr,luxury_score
Malabar Hill,68.87920072887401,80658657.67284991,4.811129848229342
Cuffe Parade,68.03662199669976,77768920.06525286,4.853181076672104
Breach Candy,66.71228048019324,78662297.11375213,4.932088285229202
Walkeshwar,66.49293847497519,74177044.40789473,4.865131578947368
Worli,65.28512470731154,72458575.70715474,4.856905158069884
Pedder Road,64.7803631964004,70584609.91735537,4.798347107438016
BKC (Bandra-Kurla),64.71624109916334,72800948.5049834,4.8604651162790695
Marine Drive,63.988260228035955,70839432.8358209,4.91044776119403
Nariman Point,61.78520685854627,49250310.051107325,4.206132879045996
Bandra West,59.22065233068821,63443546.57293497,4.961335676625659
Mahalaxmi,58.66438248522508,45382890.163934425,4.167213114754098
Prabhadevi,58.59648265014902,61338107.92580101,4.959527824620573
Colaba,57.45643580950681,43743111.87607573,4.259896729776248
Tardeo,56.479981162424295,39268968.01346801,4.158249158249158
Juhu,55.57881765605747,57089033.2103321,4.911439114391144
Lower Parel,54.1601075082758,35484119.658119656,1.1384615384615384
Khar West,54.07238654467473,53267512.152777776,4.854166666666667
Santacruz West,52.31340463119167,34350203.125,1.1979166666666667
Parel,50.08079582205253,31871231.03448276,1.2793103448275862
Vile Parle West,49.52822009066016,29332283.630470015,1.2123176661264181
Bandra East,49.335648460341126,30219412.162162162,1.179054054054054
Dadar West,49.10900222258616,30295715.24288107,1.2227805695142377
Byculla,47.10915066872045,24956212.218649518,1.135048231511254
Andheri West,46.25403885418323,25303324.758842442,1.270096463022508
Dadar East,46.000075641974206,23835026.687598117,1.218210361067504
Wadala,45.64585303736354,24542552.721088436,1.1870748299319729
Versova,45.560577986498636,23205670.436187398,1.18578352180937
Mazgaon,44.773113227990336,23031450.406504065,1.1609756097560975
Matunga,44.31466010195376,23625253.012048192,1.2013769363166953
Santacruz East,43.935296477807015,22725357.382550336,1.1208053691275168
Vile Parle East,43.820170455484586,22604376.470588237,1.2067226890756302
Powai,43.43230211229275,21215770.382695507,1.2013311148086523
Lokhandwala,43.27388734454082,21293360.544217687,1.1428571428571428
Oshiwara,41.926004743076255,19357459.866220735,1.160535117056856
Sion,41.85730899588624,20846907.80141844,1.1808510638297873
Sewri,41.637003806994485,20914621.669627,1.2397868561278864
Andheri East,40.41989068852553,17923697.391304348,1.1860869565217391
Kurla West,40.162144127182465,17151711.9205298,1.228476821192053
Goregaon West,39.425721053569426,15214745.098039215,1.2875816993464053
Chembur,39.37078696253103,15317696.869851729,1.1828665568369028
Ghatkopar West,39.34147507624812,16569352.136752136,1.2820512820512822
Vikhroli,39.334669822339414,13998475.279106857,1.1929824561403508
Malad West,38.80726155978934,13382824.476650564,1.1658615136876007
Kurla East,37.684181585193485,12460909.238249594,1.1507293354943273
Ghatkopar East,37.19930612344841,12271354.026845638,1.1711409395973154
Kandivali West,37.0414956135711,12429419.14191419,1.1848184818481848
Goregaon East,36.89169796727257,14024850.533807829,1.2135231316725978
Nerul,36.82152459376761,9961047.40061162,1.2844036697247707
Kanjurmarg,36.64042231833242,12689017.182130584,1.2302405498281788
Vashi,36.55823260624555,10815896.721311476,1.157377049180328
Mulund West,36.25894641043484,11603419.965576593,1.2358003442340793
Bhandup,36.21519741136529,10201391.233766234,1.1233766233766234
Borivali West,36.08533470645678,12047750.430292599,1.2289156626506024
Mulund East,35.68274408735547,10204265.339966832,1.197346600331675
Malad East,35.63935304255712,10801736.394557822,1.1394557823129252
Borivali East,35.18880978834381,10442337.883959044,1.2525597269624573
Sanpada,35.161961516167864,8984650.485436894,1.2297734627831716
Kandivali East,35.07191843790909,10324013.698630137,1.178082191780822
Dahisar,34.307708895782966,8934015.177065767,1.2411467116357504
Airoli,34.23988342316378,7287257.234726688,1.1639871382636655
Thane West,34.21043985005601,8286303.482587065,1.2470978441127696
Thane East,34.11809751373021,6590207.874015748,1.2031496062992126
Belapur,33.96756648810474,8651635.273972603,1.2671232876712328
Seawoods,33.95702829619099,9313684.30335097,1.1746031746031746
Kopar Khairane,33.637566703714256,7653093.023255814,1.2192691029900333
Bhayandar,32.56622546955623,5651657.331136738,1.1894563426688634
Kalwa,32.39121151338969,5160137.987012987,1.1883116883116882
Ghodbunder Road,32.33548481731555,6481719.723183391,1.193771626297578
Mira Road,32.31924773976059,6550782.905982906,1.2786324786324785
Kharghar,32.1714765309498,7446799.63898917,1.2093862815884477
Ulwe,32.11173493121951,5115289.950576606,1.1630971993410215
Ghansoli,32.10855986768776,7138348.134991119,1.3214920071047958
Naigaon,31.773543098242204,3031194.7040498443,1.2398753894080996
Manpada,31.665318434022613,6200091.710758378,1.2486772486772486
Taloja,31.348040538925105,4300185.737976783,1.1807628524046434
Kalyan,31.16946488062791,3955645.0,1.1266666666666667
Vasai,30.95936590789598,3317601.6393442624,1.2
Panvel,30.546214137879403,4833343.470483005,1.2128801431127012
Mumbra,30.48991962109957,3665081.7717206134,1.1959114139693356
Dombivli,30.281144820305407,4017914.3356643356,1.1643356643356644
Virar,30.26085145355033,3503223.3676975947,1.1580756013745706
Badlapur,30.15002370721749,2971104.377104377,1.239057239057239
Ambernath,29.841841660051692,3075056.994818653,1.2607944732297063
Nala Sopara,29.539990193227837,2723279.72027972,1.1748251748251748
