id,date_listed,locality,region,tier,lat,lon,property_type,bedrooms,carpet_area_sqft,built_up_area_sqft,carpet_area_m2,floor,total_floors,year_built,facing,furnishing,parking,balconies,is_sra_redevelopment,builder,builder_tier,metro_station,metro_line,metro_distance_min,metro_distance_type,to_bkc_km,to_nariman_point_km,price_inr,price_per_sqft_carpet_inr,price_usd,home_loan_rate_at_listing,listing_year,listing_month,property_age,calculated_price_per_sqft,luxury_score,connectivity_score,investment_score,investment_category
S000001,2024-11-23,Breach Candy,South Mumbai,luxury,18.96953,72.81853,3BHK,3,1048,1330,97.3,4,7,2013,north-west,unfurnished,1_covered,3,False,Local Builder,local,Grant Road Metro,Line 3,19,walk,12.41,4.82,61694000,58893,740322,9.2,2024,11,13,58868.32061068702,5,81,45.69480903167245,Medium
S000002,2023-07-05,Breach Candy,South Mumbai,luxury,18.9723,72.81017,2BHK,2,729,921,67.7,22,30,1991,north-west,semi_furnished,1_covered,0,False,Local Builder,local,BKC Metro,Line 3,56,auto/bus,12.55,5.29,40127000,55039,481523,9.2,2023,7,35,55043.895747599454,3,44,29.53272087621801,Medium
S000003,2022-01-22,Malad East,Western,mid,19.18986,72.8594,2BHK,2,705,860,65.5,5,7,2016,south-east,fully_furnished,1_covered,2,False,Local Builder,local,Dahanukarwadi,Line 2A,19,walk,13.37,29.52,10450000,14813,125398,7.1,2022,1,10,14822.695035460993,2,81,36.05829377990431,Medium
S000004,2020-11-18,Mulund West,Central,mid,19.15854,72.93798,1BHK,1,424,542,39.4,10,20,2014,south,unfurnished,2_covered,1,False,Ekta World,tier2,Siddhivinayak,Line 3,90,auto/bus,12.16,28.46,5420000,12781,65036,6.7,2020,11,12,12783.018867924528,0,10,6.74070184501845,Low
S000005,2025-01-11,Matunga,Central,premium,19.02358,72.8569,1BHK,1,392,479,36.4,4,12,2024,north,unfurnished,1_covered,2,False,Local Builder,local,Bandra WR,Western Rail,18,auto/bus,5.34,11.35,11713000,29860,140553,8.95,2025,1,2,29880.102040816328,0,82,38.857375224109965,Medium
S000006,2022-01-12,Malad East,Western,mid,19.18736,72.83775,1BHK,1,397,505,36.9,4,20,2022,south-east,unfurnished,1_covered,1,False,Local Builder,local,Eksar,Line 2A,19,auto/bus,13.48,29.04,4229000,10651,50752,7.1,2022,1,4,10652.392947103275,0,81,34.766662520690474,Medium
S000007,2022-04-26,Worli,South Mumbai,luxury,18.99578,72.82271,4BHK,4,1374,1782,127.7,28,30,2018,east,unfurnished,open,1,False,Local Builder,local,Worli Metro,Line 3,3,walk,9.63,7.7,71463000,51997,857550,7.1,2022,4,8,52010.91703056769,5,97,50.71339325525097,High
S000008,2020-02-15,Mazgaon,South Mumbai,premium,18.98171,72.82773,3BHK,3,980,1238,91.1,16,20,2014,south,unfurnished,1_covered,1,False,Ajmera,tier2,CSMT Metro,Line 3,19,auto/bus,10.78,6.15,19075000,19459,228900,7.85,2020,2,12,19464.285714285714,2,81,36.944224639580604,Medium
S000009,2023-09-04,Naigaon,Far Western,affordable,19.34814,72.83324,2BHK,2,707,850,65.7,19,45,2018,west,fully_furnished,1_covered,1,False,Oberoi Realty,tier1,Dindoshi,Line 7,86,auto/bus,31.17,46.9,3243000,4586,38920,9.2,2023,9,8,4586.987270155587,2,14,7.425556460067839,Low
S000010,2022-04-20,Kandivali East,Western,mid,19.19928,72.8493,4BHK,4,1418,1781,131.8,6,7,2010,east,semi_furnished,open,1,False,Piramal Realty,tier2,Dahanukarwadi,Line 2A,12,auto/bus,14.54,30.45,17978000,12676,215733,7.1,2022,4,16,12678.420310296191,2,88,38.390823539882085,Medium
S000011,2025-02-10,Borivali East,Western,mid,19.23228,72.85758,2BHK,2,734,902,68.2,19,20,2021,west,fully_furnished,open,2,False,Sunteck,tier2,Eksar,Line 2A,18,walk,18.09,34.19,11282000,15374,135389,8.95,2025,2,5,15370.57220708447,2,82,36.563436766530764,Medium
S000012,2022-02-14,Andheri East,Western,mid,19.13024,72.83626,2BHK,2,689,878,64.0,8,12,2005,south-east,unfurnished,1_covered,2,False,Runwal,tier2,Andheri WR,Western Rail,2,walk,7.58,22.69,14103000,20481,169237,7.1,2022,2,21,20468.79535558781,0,98,43.3671068992413,Medium
S000013,2023-03-03,Bhayandar,Western,affordable,19.28539,72.85237,1BHK,1,440,538,40.9,1,7,2010,west,semi_furnished,open,2,False,Local Builder,local,Dahisar East,Line 2A,24,auto/bus,24.02,40.02,2761000,6272,33135,9.2,2023,3,16,6275.0,0,76,32.01658761318363,Medium
S000014,2022-07-07,Tardeo,South Mumbai,luxury,18.97083,72.83921,2BHK,2,740,937,68.8,24,45,2021,south,semi_furnished,1_covered,1,False,Local Builder,local,Mumbai Central Metro,Line 3,17,walk,11.49,5.19,30319000,40958,363828,8.6,2022,7,5,40971.62162162162,3,83,42.324582618160235,Medium
S000015,2025-02-01,Panvel,Navi Mumbai,affordable,18.98199,73.10887,2BHK,2,597,717,55.4,3,7,2018,north-east,fully_furnished,2_covered,1,False,JP Infra,tier2,Panvel Harbour,Harbour,2,walk,26.95,30.62,5766000,9662,69197,8.95,2025,2,8,9658.291457286432,2,98,41.9058304543878,Medium
S000016,2021-09-12,Borivali East,Western,mid,19.22993,72.8425,3BHK,3,1189,1439,110.4,2,7,2018,south-west,unfurnished,1_covered,1,False,Piramal Realty,tier2,Anand Nagar,Line 2A,16,walk,18.02,33.8,12296000,10343,147553,6.7,2021,9,8,10341.463414634147,2,84,36.34992726089786,Medium
S000017,2021-02-07,Sewri,South Mumbai,premium,19.01175,72.87288,1BHK,1,448,568,41.6,10,12,2000,north-west,unfurnished,1_covered,1,False,Sunteck,tier2,Siddhivinayak,Line 3,17,auto/bus,6.48,10.8,8440000,18826,101275,6.7,2021,2,26,18839.285714285714,0,83,37.08368341232228,Medium
