id,date_listed,project_id,project_name,builder,builder_tier,rera_id,locality,region,tier,lat,lon,property_type,bedrooms,carpet_area_sqft,built_up_area_sqft,carpet_area_m2,floor,total_floors,facing,launch_year,possession_year,total_project_units,possession_status,metro_station,metro_line,metro_distance_min,to_bkc_km,price_inr,price_per_sqft_carpet_inr,price_usd,home_loan_rate_at_listing,listing_year,listing_month
U000001,2021-04-14,UC0238,Marathon Crest,Marathon,tier2,,Vashi,Navi Mumbai,mid,19.08323,73.01233,2BHK,2,445,551,41.3,5,50,east,2023,2025,100,ready_within_6m,Vashi Harbour,Harbour,24,15.03,8438000,18962,101250,6.7,2021,4
U000002,2024-11-02,UC0178,Lodha Residences,Lodha,tier1,P51873680,Thane East,Thane,affordable,19.17834,72.96463,1BHK,1,334,431,31.0,11,25,south-east,2024,2028,400,under_construction,SEEPZ,Line 3,144,15.62,4362000,13051,52338,9.2,2024,11
U000003,2025-07-22,UC0031,Tata Housing Avalon,Tata Housing,tier1,,Borivali West,Western,mid,19.23131,72.84487,3BHK,3,986,1187,91.6,16,25,north-west,2025,2024,400,ready_within_6m,Akurli,Line 7,40,18.13,22274000,22593,267284,8.7,2025,7
U000004,2023-01-14,UC0097,Nirmal Lifestyle Meadows,Nirmal Lifestyle,tier2,P51897872,Walkeshwar,South Mumbai,luxury,18.95726,72.796,3BHK,3,849,1068,78.9,3,25,west,2023,2027,400,under_construction,Grant Road Metro,Line 3,31,14.75,80504000,94851,966046,9.2,2023,1
U000005,2022-01-22,UC0150,Runwal Estate,Runwal,tier2,P51894274,Bandra West,Western,luxury,19.05551,72.81122,2BHK,2,639,786,59.4,4,35,west,2025,2026,400,ready_to_move,Bandra WR,Western Rail,40,6.38,44809000,70086,537711,7.1,2022,1
U000006,2021-04-18,UC0236,Godrej Properties Imperia,Godrej Properties,tier1,P51796632,Kanjurmarg,Central,mid,19.1327,72.93862,3BHK,3,1021,1279,94.8,7,25,south,2022,2026,200,ready_to_move,Kurar,Line 7,128,10.03,22369000,21910,268424,6.7,2021,4
U000007,2025-08-14,UC0203,Sheth Creators Skyline,Sheth Creators,tier2,P51814975,Santacruz East,Western,premium,19.0752,72.86302,3BHK,3,812,1009,75.4,13,25,east,2024,2027,400,ready_to_move,Mogra,Line 7,79,0.93,28059000,34571,336706,8.7,2025,8
U000008,2025-06-04,UC0103,Godrej Properties Oasis,Godrej Properties,tier1,P51737967,Breach Candy,South Mumbai,luxury,18.97249,72.80915,5BHK_penthouse,5,2260,2833,209.9,25,35,south-east,2025,2028,800,under_construction,Mumbai Central Metro,Line 3,14,12.59,275012000,121713,3300149,8.95,2025,6
U000009,2023-05-05,UC0243,Piramal Realty Greens,Piramal Realty,tier2,,Bhandup,Central,mid,19.14011,72.93409,1BHK,1,493,623,45.8,12,25,south-east,2025,2024,1200,under_construction,D N Nagar,Line 1,145,10.3,10477000,21246,125721,9.2,2023,5
U000010,2021-11-29,UC0116,Lodha Greens,Lodha,tier1,P51822823,Ghansoli,Navi Mumbai,mid,19.12534,72.99707,2BHK,2,475,618,44.2,5,25,south,2025,2027,800,ready_within_6m,Siddhivinayak,Line 3,261,14.7,5223000,10990,62682,6.7,2021,11
U000011,2025-12-14,UC0168,Sheth Creators Symphony,Sheth Creators,tier2,P51739756,Tardeo,South Mumbai,luxury,18.9588,72.80896,1BHK,1,475,611,44.2,14,25,north-west,2024,2025,1200,under_construction,Dadar Metro,Line 3,95,13.93,34609000,72808,415306,8.7,2025,12
